testplan,testset,model,correctness,correct,incorrect
Polygon.io endpoint generation Q&A,Polyg-3,llama3.3:70b-instruct-q8_0,1.0,400,0
Polygon.io endpoint generation Q&A,Polyg-3,aya-expanse:32b,1.0,400,0
Polygon.io endpoint generation Q&A,Polyg-3,llama3.3:70b,1.0,400,0
Polygon.io endpoint generation Q&A,Polyg-3,llama3.3:70b-instruct-fp16,1.0,400,0
Polygon.io endpoint generation Q&A,Polyg-3,qwen2.5:72b-instruct-q8_0,0.9575,383,17
Polygon.io endpoint generation Q&A,Polyg-3,qwen2.5:72b,0.955,382,18
Polygon.io endpoint generation Q&A,Polyg-3,llama3.1:70b,0.95,380,20
Polygon.io endpoint generation Q&A,Polyg-3,nemotron:70b,0.94,376,24
Polygon.io endpoint generation Q&A,Polyg-3,athene-v2:72b,0.9375,375,25
Polygon.io endpoint generation Q&A,Polyg-3,yi:34b-v1.5,0.9175,367,33
Polygon.io endpoint generation Q&A,Polyg-3,qwen2.5:32b,0.915,366,34
Polygon.io endpoint generation Q&A,Polyg-3,qwen2.5:14b,0.91,364,36
Polygon.io endpoint generation Q&A,Polyg-3,sailor2:20b,0.9075,363,37
Polygon.io endpoint generation Q&A,Polyg-3,llama3.1:405b-instruct-q2_K,0.9025,361,39
Polygon.io endpoint generation Q&A,Polyg-3,firefunction-v2:70b,0.885,354,46
Polygon.io endpoint generation Q&A,Polyg-3,qwen2.5:7b,0.855,342,58
Polygon.io endpoint generation Q&A,Polyg-3,mistral:7b-instruct-v0.2-q8_0,0.8475,339,61
Polygon.io endpoint generation Q&A,Polyg-3,gemma:7b-instruct-v1.1-q8_0,0.8375,335,65
Polygon.io endpoint generation Q&A,Polyg-3,llama3:8b,0.8225,329,71
Polygon.io endpoint generation Q&A,Polyg-3,llama3:8b-instruct-q8_0,0.81,324,76
Polygon.io endpoint generation Q&A,Polyg-3,gemma2:9b,0.8075,323,77
Polygon.io endpoint generation Q&A,Polyg-3,gemma:7b,0.8,320,80
Polygon.io endpoint generation Q&A,Polyg-3,openchat:7b,0.7975,319,81
Polygon.io endpoint generation Q&A,Polyg-3,llama3:8b-instruct-q6_K,0.79,316,84
Polygon.io endpoint generation Q&A,Polyg-3,marco-o1:7b,0.7825,313,87
Polygon.io endpoint generation Q&A,Polyg-3,tulu3:70b,0.78,312,88
Polygon.io endpoint generation Q&A,Polyg-3,gemma:7b-v1.1,0.78,312,88
Polygon.io endpoint generation Q&A,Polyg-3,mistral-small:22b,0.78,312,88
Polygon.io endpoint generation Q&A,Polyg-3,llama3.1:8b,0.7775,311,89
Polygon.io endpoint generation Q&A,Polyg-3,gemma2:27b,0.77,308,92
Polygon.io endpoint generation Q&A,Polyg-3,aya-expanse:8b,0.765,306,94
Polygon.io endpoint generation Q&A,Polyg-3,reflection:70b,0.755,302,98
Polygon.io endpoint generation Q&A,Polyg-3,qwq:32b,0.7525,301,99
Polygon.io endpoint generation Q&A,Polyg-3,tulu3:8b,0.7525,301,99
Polygon.io endpoint generation Q&A,Polyg-3,yi:9b-v1.5,0.7425,297,103
Polygon.io endpoint generation Q&A,Polyg-3,mistral:7b,0.7375,295,105
Polygon.io endpoint generation Q&A,Polyg-3,command-r:35b,0.73,292,108
Polygon.io endpoint generation Q&A,Polyg-3,mistral:7b-instruct-v0.2-q2_K,0.7,280,120
Polygon.io endpoint generation Q&A,Polyg-3,granite3-dense:8b,0.69,276,124
Polygon.io endpoint generation Q&A,Polyg-3,aya:8b,0.6875,275,125
Polygon.io endpoint generation Q&A,Polyg-3,gemma2:2b,0.6825,273,127
Polygon.io endpoint generation Q&A,Polyg-3,granite3-moe:3b,0.68,272,128
