testplan,testset,model,correctness,correct,incorrect
Basic Financial Q&A,20240507-1,mixtral:8x22b,1.0000,1,0
Basic Financial Q&A,20240507-1,wizardlm2:7b-q8_0,1.0000,2,0
Basic Financial Q&A,20240507-1,llama3:70b,0.6992,2690,1157
Basic Financial Q&A,20240507-1,llama3:70b-instruct-q8_0,0.6765,2892,1383
Basic Financial Q&A,20240507-1,llama3:70b-instruct-fp16,0.6684,2256,1119
Basic Financial Q&A,20240507-1,dolphin-llama3:70b-v2.9,0.6041,2564,1680
Basic Financial Q&A,20240507-1,qwen:110b,0.6040,2233,1464
Basic Financial Q&A,20240507-1,dbrx:132b,0.5862,949,670
Basic Financial Q&A,20240507-1,qwen:32b-chat-v1.5-q8_0,0.5512,2504,2039
Basic Financial Q&A,20240507-1,llama3-gradient:70b-instruct-1048k-q4_0,0.5490,1277,1049
Basic Financial Q&A,20240507-1,qwen:32b-chat-v1.5-fp16,0.5481,2101,1732
Basic Financial Q&A,20240507-1,llama3-gradient:70b-instruct-1048k-q8_0,0.5403,1817,1546
Basic Financial Q&A,20240507-1,qwen:32b,0.5324,2500,2196
Basic Financial Q&A,20240507-1,kaiserdan/llama3-120b,0.5199,1749,1615
Basic Financial Q&A,20240507-1,qwen:110b-chat-v1.5-q2_K,0.5144,1782,1682
Basic Financial Q&A,20240507-1,yi:34b-v1.5,0.4605,4630,5424
Basic Financial Q&A,20240507-1,mixtral:8x7b-instruct-v0.1-fp16,0.4324,809,1062
Basic Financial Q&A,20240507-1,phi3:14b-medium-4k-instruct-q8_0,0.4190,4853,6729
Basic Financial Q&A,20240507-1,phi3:14b,0.3942,2272,3491
Basic Financial Q&A,20240507-1,gemma:7b-instruct-v1.1-q8_0,0.3872,1587,2512
Basic Financial Q&A,20240507-1,llama3-chatqa:70b,0.3856,1473,2347
Basic Financial Q&A,20240507-1,gemma:7b-instruct-v1.1-fp16,0.3795,638,1043
Basic Financial Q&A,20240507-1,llama3:8b-instruct-q8_0,0.3753,941,1566
Basic Financial Q&A,20240507-1,qwen:72b,0.3733,1577,2647
Basic Financial Q&A,20240507-1,llama3:8b-instruct-fp16,0.3667,1232,2128
Basic Financial Q&A,20240507-1,gemma:7b-v1.1,0.3646,1553,2707
Basic Financial Q&A,20240507-1,deepseek-llm:67b,0.3596,1232,2194
Basic Financial Q&A,20240507-1,command-r-plus:104b,0.3521,1708,3143
Basic Financial Q&A,20240507-1,llama2:70b,0.3499,1735,3223
Basic Financial Q&A,20240507-1,llama3:8b,0.3446,1412,2685
Basic Financial Q&A,20240507-1,mixtral:8x7b-instruct-v0.1-q2_K,0.3291,3254,6633
Basic Financial Q&A,20240507-1,gemma:7b,0.3277,1109,2275
Basic Financial Q&A,20240507-1,starling-lm:7b-beta-q8_0,0.3184,3217,6888
Basic Financial Q&A,20240507-1,starling-lm:7b-beta-fp16,0.3181,1438,3083
Basic Financial Q&A,20240507-1,llama3:8b-instruct-q6_K,0.3139,1477,3228
Basic Financial Q&A,20240507-1,mistral:7b,0.3071,1441,3251
Basic Financial Q&A,20240507-1,wizardlm2:7b-fp16,0.3055,1086,2469
Basic Financial Q&A,20240507-1,gemma:7b-instruct-v1.1-q2_K,0.2942,1117,2680
Basic Financial Q&A,20240507-1,phi3:3.8b-mini-instruct-4k-fp16,0.2878,3478,8608
Basic Financial Q&A,20240507-1,starling-lm:7b,0.2872,3379,8386
Basic Financial Q&A,20240507-1,mistral:v0.2,0.2806,1961,5028
Basic Financial Q&A,20240507-1,yi:9b-v1.5,0.2738,920,2440
Basic Financial Q&A,20240507-1,openchat:7b,0.2712,1289,3464
Basic Financial Q&A,20240507-1,phi3:3.8b,0.2673,1513,4148
Basic Financial Q&A,20240507-1,yi:6b-v1.5,0.2651,1244,3448
Basic Financial Q&A,20240507-1,llama3-gradient:8b-instruct-1048k-fp16,0.2629,889,2492
Basic Financial Q&A,20240507-1,mistral:7b-instruct-v0.2-q8_0,0.2515,845,2515
Basic Financial Q&A,20240507-1,mistral:7b-instruct-v0.2-fp16,0.2473,2161,6577
Basic Financial Q&A,20240507-1,dolphin-llama3:8b-v2.9,0.2423,829,2592
Basic Financial Q&A,20240507-1,llama3-gradient:8b-instruct-1048k-q8_0,0.2421,813,2545
Basic Financial Q&A,20240507-1,command-r:35b,0.2384,3091,9873
Basic Financial Q&A,20240507-1,llama3-gradient:8b-instruct-1048k-q4_0,0.2265,761,2599
Basic Financial Q&A,20240507-1,neural-chat:7b,0.2258,758,2599
Basic Financial Q&A,20240507-1,mistral:7b-instruct-v0.2-q2_K,0.2113,951,3550
Basic Financial Q&A,20240507-1,llama3:8b-instruct-q2_K,0.2040,907,3539
Basic Financial Q&A,20240507-1,yi:34b,0.2017,957,3788
Basic Financial Q&A,20240507-1,qwen:14b,0.1986,1776,7166
Basic Financial Q&A,20240507-1,llama3-chatqa:8b,0.1576,501,2677
Basic Financial Q&A,20240507-1,orca2:13b,0.1427,621,3730
Basic Financial Q&A,20240507-1,llama2:13b,0.1189,567,4203
Basic Financial Q&A,20240507-1,deepseek-llm:7b,0.0974,343,3180
Basic Financial Q&A,20240507-1,yi:6b-v1.5-fp16,0.0917,308,3052
Basic Financial Q&A,20240507-1,llama2:7b,0.0900,532,5379
Basic Financial Q&A,20240507-1,yi:6b-v1.5-q8_0,0.0867,312,3288
Basic Financial Q&A,20240507-1,llama2-uncensored:7b,0.0536,257,4541
Basic Financial Q&A,20240507-1,orca2:7b,0.0490,206,3997
Basic Financial Q&A,20240507-1,yi:34b-v1.5-q8_0,0.0486,115,2252
Basic Financial Q&A,20240507-1,yi:34b-v1.5-fp16,0.0339,81,2311
Basic Financial Q&A,20240507-1,qwen:4b,0.0250,115,4486
Basic Financial Q&A,20240507-1,phi:2.7b,0.0209,20,937
Basic Financial Q&A,20240507-1,gemma:2b,0.0199,70,3456
Basic Financial Q&A,20240507-1,gemma:2b-instruct-v1.1-fp16,0.0157,53,3317
Basic Financial Q&A,20240507-1,gemma:2b-instruct-v1.1-q8_0,0.0142,48,3331
Basic Financial Q&A,20240507-1,qwen:1.8b,0.0141,56,3928
Basic Financial Q&A,20240507-1,qwen:0.5b,0.0106,39,3653
Basic Financial Q&A,20240507-1,gemma:2b-v1.1,0.0076,26,3389
Basic Financial Q&A,20240507-1,falcon2:11b,0.0000,0,3463
Basic Financial Q&A,20240507-1,phi3:14b-medium-4k-instruct-q2_K,0.0000,0,298
