testplan,testset,model,correctness,correct,incorrect
Polygon.io endpoint generation Q&A,20240423-1,llama3:70b-instruct-q8_0,0.8475,339,61
Polygon.io endpoint generation Q&A,20240423-1,llama3:70b-instruct-fp16,0.8425,337,63
Polygon.io endpoint generation Q&A,20240423-1,llama3:70b,0.8354,335,66
Polygon.io endpoint generation Q&A,20240423-1,wizardlm2:8x22b,0.8113,331,77
Polygon.io endpoint generation Q&A,20240423-1,qwen:110b,0.8000,320,80
Polygon.io endpoint generation Q&A,20240423-1,llama3:70b-instruct-q2_K,0.7950,318,82
Polygon.io endpoint generation Q&A,20240423-1,qwen:110b-chat-v1.5-q2_K,0.7900,316,84
Polygon.io endpoint generation Q&A,20240423-1,mixtral:8x7b,0.7601,415,131
Polygon.io endpoint generation Q&A,20240423-1,gemma:7b-instruct-v1.1-q8_0,0.7525,301,99
Polygon.io endpoint generation Q&A,20240423-1,qwen:32b,0.7500,300,100
Polygon.io endpoint generation Q&A,20240423-1,gemma:7b,0.7475,299,101
Polygon.io endpoint generation Q&A,20240423-1,mistral:7b-instruct-v0.2-q8_0,0.7400,296,104
Polygon.io endpoint generation Q&A,20240423-1,gemma:7b-instruct-v1.1-fp16,0.7375,295,105
Polygon.io endpoint generation Q&A,20240423-1,yi:34b,0.7368,308,110
Polygon.io endpoint generation Q&A,20240423-1,mistral:7b-instruct-v0.2-fp16,0.7350,294,106
Polygon.io endpoint generation Q&A,20240423-1,command-r:35b,0.7248,316,120
Polygon.io endpoint generation Q&A,20240423-1,starling-lm:7b-beta-fp16,0.7209,341,132
Polygon.io endpoint generation Q&A,20240423-1,solar:10.7b,0.7158,393,156
Polygon.io endpoint generation Q&A,20240423-1,llama3:8b-instruct-q8_0,0.7150,286,114
Polygon.io endpoint generation Q&A,20240423-1,dolphin-llama3:70b-v2.9,0.7125,285,115
Polygon.io endpoint generation Q&A,20240423-1,starling-lm:7b-beta-q8_0,0.7082,381,157
Polygon.io endpoint generation Q&A,20240423-1,gemma:7b-v1.1,0.7000,280,120
Polygon.io endpoint generation Q&A,20240423-1,qwen:32b-chat-v1.5-fp16,0.7000,280,120
Polygon.io endpoint generation Q&A,20240423-1,qwen:32b-chat-v1.5-q8_0,0.7000,280,120
Polygon.io endpoint generation Q&A,20240423-1,llama3:8b-instruct-fp16,0.6975,279,121
Polygon.io endpoint generation Q&A,20240423-1,llama3:8b-instruct-q6_K,0.6975,279,121
Polygon.io endpoint generation Q&A,20240423-1,mistral:7b,0.6975,279,121
Polygon.io endpoint generation Q&A,20240423-1,openchat:7b,0.6975,279,121
Polygon.io endpoint generation Q&A,20240423-1,wizardlm2:8x22b-q8_0,0.6933,278,123
Polygon.io endpoint generation Q&A,20240423-1,llama3:8b,0.6900,276,124
Polygon.io endpoint generation Q&A,20240423-1,wizardlm2:7b-q8_0,0.6840,461,213
Polygon.io endpoint generation Q&A,20240423-1,mistral:v0.2,0.6771,388,185
Polygon.io endpoint generation Q&A,20240423-1,mixtral:8x7b-instruct-v0.1-q8_0,0.6605,284,146
Polygon.io endpoint generation Q&A,20240423-1,phi3:3.8b-mini-instruct-4k-fp16,0.6599,491,253
Polygon.io endpoint generation Q&A,20240423-1,wizardlm2:7b-q6_K,0.6585,376,195
Polygon.io endpoint generation Q&A,20240423-1,mixtral:8x7b-instruct-v0.1-fp16,0.6553,268,141
Polygon.io endpoint generation Q&A,20240423-1,qwen:72b,0.6550,262,138
Polygon.io endpoint generation Q&A,20240423-1,mistral:7b-instruct-v0.2-q2_K,0.6450,258,142
Polygon.io endpoint generation Q&A,20240423-1,wizardlm2:7b,0.6442,420,232
Polygon.io endpoint generation Q&A,20240423-1,llama3-gradient:70b-instruct-1048k-q4_0,0.6391,255,144
