"test_set","model","correctness","correct","incorrect"
"20240419-7","llama3:70b","0.6741","451","218"
"20240419-7","mixtral:8x22b","0.5902","399","277"
"20240419-7","qwen:32b","0.5399","365","311"
"20240419-7","dbrx:132b","0.5253","364","329"
"20240419-7","wizardlm2:8x22b","0.5222","353","323"
"20240419-7","qwen:72b","0.4415","298","377"
"20240419-7","mixtral:8x7b","0.4393","297","379"
"20240419-7","gemma:7b-v1.1","0.4246","287","389"
"20240419-7","zephyr:7b","0.3950","267","409"
"20240419-7","llama2:70b","0.3772","255","421"
"20240419-7","llama3:8b","0.3635","245","429"
"20240419-7","llama2:13b","0.3595","243","433"
"20240419-7","solar:10.7b","0.3595","243","433"
"20240419-7","qwen:14b","0.3388","229","447"
"20240419-7","deepseek-llm:67b","0.3373","228","448"
"20240419-7","command-r:35b","0.3245","329","685"
"20240419-7","openchat:7b","0.3195","216","460"
"20240419-7","deepseek-coder:33b","0.3047","206","470"
"20240419-7","llama2-uncensored:70b","0.2840","192","484"
"20240419-7","mistral:v0.2","0.2722","184","492"
"20240419-7","gemma:7b","0.2678","181","495"
"20240419-7","mistral:7b","0.2678","181","495"
"20240419-7","codellama:13b","0.2456","166","510"
"20240419-7","llama2:7b","0.2456","166","510"
"20240419-7","wizardlm2:7b","0.2382","161","515"
"20240419-7","yi:34b","0.2119","143","532"
"20240419-7","gemma:2b","0.2115","143","533"
"20240419-7","wizardlm-uncensored:13b","0.2041","138","538"
"20240419-7","starling-lm:7b","0.1982","134","542"
"20240419-7","llama2-chinese:7b","0.1953","132","544"
"20240419-7","orca2:13b","0.1953","132","544"
"20240419-7","neural-chat:7b","0.1923","130","546"
"20240419-7","gemma:2b-v1.1","0.1805","122","554"
"20240419-7","deepseek-llm:7b","0.1716","116","560"
"20240419-7","command-r-plus:104b","0.1637","166","848"
"20240419-7","orca2:7b","0.1302","88","588"
"20240419-7","qwen:4b","0.1276","86","588"
"20240419-7","llama2-uncensored:7b","0.1213","82","594"
"20240419-7","deepseek-coder:6.7b","0.1124","76","600"
"20240419-7","yi:6b","0.0858","58","618"
"20240419-7","phi:2.7b","0.0769","52","624"
"20240419-7","qwen:1.8b","0.0518","35","641"
"20240419-7","deepseek-coder:1.3b","0.0355","24","652"
"20240419-7","qwen:0.5b","0.0296","20","656"
"20240419-7","wizard-math:13b","0.0066","1","151"
"20240419-7","falcon:40b","0.0000","0","338"
"20240419-7","qwen-chat:7b","0.0000","0","676"
