testplan,testset,model,correctness,correct,incorrect
Extraction Nvidia Earning Q&A,20240425-2,llama3:8b-instruct-fp16,0.3680,637,1094
Extraction Nvidia Earning Q&A,20240425-2,llama3:8b-instruct-q6_K,0.3643,623,1087
Extraction Nvidia Earning Q&A,20240425-2,llama3:8b-instruct-q8_0,0.3643,623,1087
Extraction Nvidia Earning Q&A,20240425-2,llama3:70b-instruct-q8_0,0.3558,603,1092
Extraction Nvidia Earning Q&A,20240425-2,llama3:70b,0.3531,602,1103
Extraction Nvidia Earning Q&A,20240425-2,llama3:70b-instruct-fp16,0.3418,579,1115
Extraction Nvidia Earning Q&A,20240425-2,llama3:8b,0.3374,577,1133
Extraction Nvidia Earning Q&A,20240425-2,qwen:32b-chat-v1.5-q8_0,0.3310,566,1144
Extraction Nvidia Earning Q&A,20240425-2,qwen:32b-chat-v1.5-fp16,0.3205,548,1162
Extraction Nvidia Earning Q&A,20240425-2,llama3-gradient:8b-instruct-1048k-fp16,0.2894,516,1267
Extraction Nvidia Earning Q&A,20240425-2,qwen:72b,0.2817,478,1219
Extraction Nvidia Earning Q&A,20240425-2,llama3:70b-instruct-q2_K,0.2768,452,1181
Extraction Nvidia Earning Q&A,20240425-2,qwen:32b,0.2760,472,1238
Extraction Nvidia Earning Q&A,20240425-2,qwen:110b-chat-v1.5-q8_0,0.2739,310,822
Extraction Nvidia Earning Q&A,20240425-2,qwen:110b,0.2663,457,1259
Extraction Nvidia Earning Q&A,20240425-2,llama3-gradient:8b-instruct-1048k-q8_0,0.2642,452,1259
Extraction Nvidia Earning Q&A,20240425-2,wizardlm2:8x22b-q8_0,0.2589,444,1271
Extraction Nvidia Earning Q&A,20240425-2,mixtral:8x22b-instruct-v0.1-q2_K,0.2554,504,1469
Extraction Nvidia Earning Q&A,20240425-2,wizardlm2:8x22b,0.2377,417,1337
Extraction Nvidia Earning Q&A,20240425-2,llama3-gradient:8b-instruct-1048k-q4_0,0.2339,400,1310
Extraction Nvidia Earning Q&A,20240425-2,deepseek-llm:67b,0.2337,402,1318
Extraction Nvidia Earning Q&A,20240425-2,mixtral:8x22b-instruct-v0.1-q8_0,0.2303,397,1327
Extraction Nvidia Earning Q&A,20240425-2,mixtral:8x7b-instruct-v0.1-q2_K,0.2285,600,2026
Extraction Nvidia Earning Q&A,20240425-2,mixtral:8x22b,0.2196,430,1528
Extraction Nvidia Earning Q&A,20240425-2,mixtral:8x7b-instruct-v0.1-q8_0,0.2047,436,1694
Extraction Nvidia Earning Q&A,20240425-2,mixtral:8x7b,0.1948,497,2054
Extraction Nvidia Earning Q&A,20240425-2,qwen:110b-chat-v1.5-q2_K,0.1942,332,1378
Extraction Nvidia Earning Q&A,20240425-2,llama2:70b,0.1825,345,1545
Extraction Nvidia Earning Q&A,20240425-2,mixtral:8x7b-instruct-v0.1-fp16,0.1742,342,1621
Extraction Nvidia Earning Q&A,20240425-2,solar:10.7b,0.1734,346,1649
Extraction Nvidia Earning Q&A,20240425-2,orca2:7b,0.1723,514,2470
Extraction Nvidia Earning Q&A,20240425-2,llama3-chatqa:8b,0.1661,284,1426
Extraction Nvidia Earning Q&A,20240425-2,yi:34b,0.1591,244,1290
Extraction Nvidia Earning Q&A,20240425-2,mistral:7b-instruct-v0.2-fp16,0.1577,384,2051
Extraction Nvidia Earning Q&A,20240425-2,llama2:13b,0.1562,544,2939
Extraction Nvidia Earning Q&A,20240425-2,command-r:35b,0.1552,485,2640
Extraction Nvidia Earning Q&A,20240425-2,yi:6b,0.1543,361,1978
Extraction Nvidia Earning Q&A,20240425-2,orca2:13b,0.1513,387,2170
Extraction Nvidia Earning Q&A,20240425-2,llama3-gradient:70b-instruct-1048k-q4_0,0.1501,256,1449
Extraction Nvidia Earning Q&A,20240425-2,dbrx:132b,0.1413,266,1616
Extraction Nvidia Earning Q&A,20240425-2,qwen:14b,0.1398,240,1477
Extraction Nvidia Earning Q&A,20240425-2,llama3:8b-instruct-q2_K,0.1351,231,1479
Extraction Nvidia Earning Q&A,20240425-2,llama2:7b,0.1344,536,3451
Extraction Nvidia Earning Q&A,20240425-2,mistral:7b-instruct-v0.2-q8_0,0.1322,226,1484
Extraction Nvidia Earning Q&A,20240425-2,mistral:7b,0.1316,225,1485
Extraction Nvidia Earning Q&A,20240425-2,gemma:2b-instruct-v1.1-fp16,0.1292,291,1961
Extraction Nvidia Earning Q&A,20240425-2,mistral:v0.2,0.1290,235,1586
Extraction Nvidia Earning Q&A,20240425-2,gemma:2b-instruct-v1.1-q8_0,0.1256,285,1984
Extraction Nvidia Earning Q&A,20240425-2,gemma:7b-instruct-v1.1-q8_0,0.1227,257,1837
Extraction Nvidia Earning Q&A,20240425-2,wizardlm-uncensored:13b,0.1079,123,1017
Extraction Nvidia Earning Q&A,20240425-2,gemma:2b-v1.1,0.1047,179,1531
Extraction Nvidia Earning Q&A,20240425-2,phi3:3.8b-mini-instruct-4k-fp16,0.0975,167,1545
Extraction Nvidia Earning Q&A,20240425-2,deepseek-llm:7b,0.0925,170,1668
Extraction Nvidia Earning Q&A,20240425-2,mistral:7b-instruct-v0.2-q2_K,0.0918,157,1553
Extraction Nvidia Earning Q&A,20240425-2,gemma:7b-instruct-v1.1-fp16,0.0854,146,1564
Extraction Nvidia Earning Q&A,20240425-2,dolphin-llama3:8b-v2.9,0.0819,140,1570
Extraction Nvidia Earning Q&A,20240425-2,gemma:7b-v1.1,0.0795,136,1574
Extraction Nvidia Earning Q&A,20240425-2,gemma:7b,0.0784,134,1576
Extraction Nvidia Earning Q&A,20240425-2,codellama:13b,0.0777,264,3135
Extraction Nvidia Earning Q&A,20240425-2,openchat:7b,0.0747,255,3157
Extraction Nvidia Earning Q&A,20240425-2,gemma:2b,0.0732,125,1583
Extraction Nvidia Earning Q&A,20240425-2,llama3-chatqa:70b,0.0725,124,1586
Extraction Nvidia Earning Q&A,20240425-2,gemma:7b-instruct-v1.1-q2_K,0.0690,118,1592
Extraction Nvidia Earning Q&A,20240425-2,zephyr:7b,0.0509,79,1473
Extraction Nvidia Earning Q&A,20240425-2,starling-lm:7b,0.0423,83,1877
Extraction Nvidia Earning Q&A,20240425-2,llama2-chinese:7b,0.0362,144,3829
Extraction Nvidia Earning Q&A,20240425-2,llama2-uncensored:70b,0.0325,37,1101
Extraction Nvidia Earning Q&A,20240425-2,command-r-plus:104b,0.0322,60,1801
Extraction Nvidia Earning Q&A,20240425-2,dolphin-llama3:70b-v2.9,0.0321,55,1661
Extraction Nvidia Earning Q&A,20240425-2,phi3:3.8b,0.0267,46,1677
Extraction Nvidia Earning Q&A,20240425-2,llama2-uncensored:7b,0.0263,89,3291
Extraction Nvidia Earning Q&A,20240425-2,wizardlm2:7b-q6_K,0.0248,43,1689
Extraction Nvidia Earning Q&A,20240425-2,neural-chat:7b,0.0246,51,2023
Extraction Nvidia Earning Q&A,20240425-2,phi:2.7b,0.0212,39,1799
Extraction Nvidia Earning Q&A,20240425-2,wizardlm2:7b-fp16,0.0202,37,1795
Extraction Nvidia Earning Q&A,20240425-2,wizardlm2:7b-q8_0,0.0196,37,1851
Extraction Nvidia Earning Q&A,20240425-2,qwen:1.8b,0.0192,33,1686
Extraction Nvidia Earning Q&A,20240425-2,wizardlm2:7b,0.0105,18,1692
Extraction Nvidia Earning Q&A,20240425-2,qwen:4b,0.0088,15,1687
Extraction Nvidia Earning Q&A,20240425-2,starling-lm:7b-beta-fp16,0.0076,13,1704
Extraction Nvidia Earning Q&A,20240425-2,qwen:7b,0.0066,11,1666
Extraction Nvidia Earning Q&A,20240425-2,starling-lm:7b-beta-q8_0,0.0057,10,1741
Extraction Nvidia Earning Q&A,20240425-2,wizardlm2:7b-q2_K,0.0048,10,2082
Extraction Nvidia Earning Q&A,20240425-2,qwen:0.5b,0.0012,2,1705
Extraction Nvidia Earning Q&A,20240425-2,falcon:7b-instruct,0.0000,0,1140
